mes,parcela,contribuicao_base,taxa_adm,fundo_reserva,seguro,taxas_pontuais,aluguel,lance,saldo_a_contribuir,carta_atualizada
1,3026.18,976.18,222.22,27.78,0.00,0.00,1800.00,0.00,249023.82,251018.53
2,3026.18,976.18,222.22,27.78,0.00,0.00,1800.00,0.00,248047.63,252041.21
3,65293.20,976.18,222.22,27.78,0.00,800.00,0.00,63267.01,183804.44,253068.06
4,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,183185.69,254099.09
5,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,182566.95,255134.32
6,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,181948.21,256173.77
7,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,181329.47,257217.45
8,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,180710.72,258265.39
9,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,180091.98,259317.59
10,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,179473.24,260374.09
11,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,178854.50,261434.88
12,868.74,618.74,222.22,27.78,0.00,0.00,0.00,0.00,178235.75,262500.00
13,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,177198.65,263569.46
14,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,176161.54,264643.27
15,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,175124.43,265721.46
16,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,174087.33,266804.04
17,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,173050.22,267891.04
18,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,172013.11,268982.46
19,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,170976.01,270078.33
20,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,169938.90,271178.66
21,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,168901.79,272283.47
22,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,167864.69,273392.79
23,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,166827.58,274506.63
24,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,165790.47,275625.00
25,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,164753.37,276747.93
26,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,163716.26,277875.44
27,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,162679.15,279007.53
28,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,161642.05,280144.25
29,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,160604.94,281285.59
30,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,159567.83,282431.58
31,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,158530.73,283582.24
32,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,157493.62,284737.59
33,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,156456.51,285897.65
34,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,155419.41,287062.43
35,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,154382.30,288231.96
36,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,153345.19,289406.25
37,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,152308.09,290585.33
38,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,151270.98,291769.21
39,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,150233.87,292957.91
40,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,149196.77,294151.46
41,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,148159.66,295349.87
42,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,147122.56,296553.16
43,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,146085.45,297761.35
44,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,145048.34,298974.47
45,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,144011.24,300192.53
46,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,142974.13,301415.55
47,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,141937.02,302643.56
48,1287.11,1037.11,222.22,27.78,0.00,0.00,0.00,0.00,140899.92,303876.56
