mes,parcela,juros,amortizacao,saldo_devedor
1,1676.11,1104.72,451.39,162048.61
2,1673.04,1101.65,451.39,161597.22
3,1669.97,1098.59,451.39,161145.83
4,1666.91,1095.52,451.39,160694.44
5,1663.84,1092.45,451.39,160243.06
6,1660.77,1089.38,451.39,159791.67
7,1657.70,1086.31,451.39,159340.28
8,1654.63,1083.24,451.39,158888.89
9,1651.56,1080.17,451.39,158437.50
10,1648.49,1077.10,451.39,157986.11
11,1645.42,1074.04,451.39,157534.72
12,1642.36,1070.97,451.39,157083.33
13,1639.29,1067.90,451.39,156631.94
14,1636.22,1064.83,451.39,156180.56
15,1633.15,1061.76,451.39,155729.17
16,1630.08,1058.69,451.39,155277.78
17,1627.01,1055.62,451.39,154826.39
18,1623.94,1052.55,451.39,154375.00
19,1620.88,1049.49,451.39,153923.61
20,1617.81,1046.42,451.39,153472.22
21,1614.74,1043.35,451.39,153020.83
22,1611.67,1040.28,451.39,152569.44
23,1608.60,1037.21,451.39,152118.06
24,1605.53,1034.14,451.39,151666.67
25,1602.46,1031.07,451.39,151215.28
26,1599.39,1028.01,451.39,150763.89
27,1596.33,1024.94,451.39,150312.50
28,1593.26,1021.87,451.39,149861.11
29,1590.19,1018.80,451.39,149409.72
30,1587.12,1015.73,451.39,148958.33
31,1584.05,1012.66,451.39,148506.94
32,1580.98,1009.59,451.39,148055.56
33,1577.91,1006.52,451.39,147604.17
34,1574.85,1003.46,451.39,147152.78
35,1571.78,1000.39,451.39,146701.39
36,1568.71,997.32,451.39,146250.00
37,1565.64,994.25,451.39,145798.61
38,1562.57,991.18,451.39,145347.22
39,1559.50,988.11,451.39,144895.83
40,1556.43,985.04,451.39,144444.44
41,1553.36,981.98,451.39,143993.06
42,1550.30,978.91,451.39,143541.67
43,1547.23,975.84,451.39,143090.28
44,1544.16,972.77,451.39,142638.89
45,1541.09,969.70,451.39,142187.50
46,1538.02,966.63,451.39,141736.11
47,1534.95,963.56,451.39,141284.72
48,1531.88,960.49,451.39,140833.33
49,1528.81,957.43,451.39,140381.94
50,1525.75,954.36,451.39,139930.56
51,1522.68,951.29,451.39,139479.17
52,1519.61,948.22,451.39,139027.78
53,1516.54,945.15,451.39,138576.39
54,1513.47,942.08,451.39,138125.00
55,1510.40,939.01,451.39,137673.61
56,1507.33,935.95,451.39,137222.22
57,1504.27,932.88,451.39,136770.83
58,1501.20,929.81,451.39,136319.44
59,1498.13,926.74,451.39,135868.06
60,1495.06,923.67,451.39,135416.67
61,1491.99,920.60,451.39,134965.28
62,1488.92,917.53,451.39,134513.89
63,1485.85,914.46,451.39,134062.50
64,1482.78,911.40,451.39,133611.11
65,1479.72,908.33,451.39,133159.72
66,1476.65,905.26,451.39,132708.33
67,1473.58,902.19,451.39,132256.94
68,1470.51,899.12,451.39,131805.56
69,1467.44,896.05,451.39,131354.17
70,1464.37,892.98,451.39,130902.78
71,1461.30,889.92,451.39,130451.39
72,1458.24,886.85,451.39,130000.00
73,1455.17,883.78,451.39,129548.61
74,1452.10,880.71,451.39,129097.22
75,1449.03,877.64,451.39,128645.83
76,1445.96,874.57,451.39,128194.44
77,1442.89,871.50,451.39,127743.06
78,1439.82,868.43,451.39,127291.67
79,1436.75,865.37,451.39,126840.28
80,1433.69,862.30,451.39,126388.89
81,1430.62,859.23,451.39,125937.50
82,1427.55,856.16,451.39,125486.11
83,1424.48,853.09,451.39,125034.72
84,1421.41,850.02,451.39,124583.33
85,1418.34,846.95,451.39,124131.94
86,1415.27,843.89,451.39,123680.56
87,1412.21,840.82,451.39,123229.17
88,1409.14,837.75,451.39,122777.78
89,1406.07,834.68,451.39,122326.39
90,1403.00,831.61,451.39,121875.00
91,1399.93,828.54,451.39,121423.61
92,1396.86,825.47,451.39,120972.22
93,1393.79,822.40,451.39,120520.83
94,1390.72,819.34,451.39,120069.44
95,1387.66,816.27,451.39,119618.06
96,1384.59,813.20,451.39,119166.67
97,1381.52,810.13,451.39,118715.28
98,1378.45,807.06,451.39,118263.89
99,1375.38,803.99,451.39,117812.50
100,1372.31,800.92,451.39,117361.11
101,1369.24,797.86,451.39,116909.72
102,1366.18,794.79,451.39,116458.33
103,1363.11,791.72,451.39,116006.94
104,1360.04,788.65,451.39,115555.56
105,1356.97,785.58,451.39,115104.17
106,1353.90,782.51,451.39,114652.78
107,1350.83,779.44,451.39,114201.39
108,1347.76,776.37,451.39,113750.00
109,1344.69,773.31,451.39,113298.61
110,1341.63,770.24,451.39,112847.22
111,1338.56,767.17,451.39,112395.83
112,1335.49,764.10,451.39,111944.44
113,1332.42,761.03,451.39,111493.06
114,1329.35,757.96,451.39,111041.67
115,1326.28,754.89,451.39,110590.28
116,1323.21,751.82,451.39,110138.89
117,1320.15,748.76,451.39,109687.50
118,1317.08,745.69,451.39,109236.11
119,1314.01,742.62,451.39,108784.72
120,1310.94,739.55,451.39,108333.33
121,1307.87,736.48,451.39,107881.94
122,1304.80,733.41,451.39,107430.56
123,1301.73,730.34,451.39,106979.17
124,1298.66,727.28,451.39,106527.78
125,1295.60,724.21,451.39,106076.39
126,1292.53,721.14,451.39,105625.00
127,1289.46,718.07,451.39,105173.61
128,1286.39,715.00,451.39,104722.22
129,1283.32,711.93,451.39,104270.83
130,1280.25,708.86,451.39,103819.44
131,1277.18,705.79,451.39,103368.06
132,1274.12,702.73,451.39,102916.67
133,1271.05,699.66,451.39,102465.28
134,1267.98,696.59,451.39,102013.89
135,1264.91,693.52,451.39,101562.50
136,1261.84,690.45,451.39,101111.11
137,1258.77,687.38,451.39,100659.72
138,1255.70,684.31,451.39,100208.33
139,1252.63,681.25,451.39,99756.94
140,1249.57,678.18,451.39,99305.56
141,1246.50,675.11,451.39,98854.17
142,1243.43,672.04,451.39,98402.78
143,1240.36,668.97,451.39,97951.39
144,1237.29,665.90,451.39,97500.00
145,1234.22,662.83,451.39,97048.61
146,1231.15,659.76,451.39,96597.22
147,1228.08,656.70,451.39,96145.83
148,1225.02,653.63,451.39,95694.44
149,1221.95,650.56,451.39,95243.06
150,1218.88,647.49,451.39,94791.67
151,1215.81,644.42,451.39,94340.28
152,1212.74,641.35,451.39,93888.89
153,1209.67,638.28,451.39,93437.50
154,1206.60,635.22,451.39,92986.11
155,1203.54,632.15,451.39,92534.72
156,1200.47,629.08,451.39,92083.33
157,1197.40,626.01,451.39,91631.94
158,1194.33,622.94,451.39,91180.56
159,1191.26,619.87,451.39,90729.17
160,1188.19,616.80,451.39,90277.78
161,1185.12,613.73,451.39,89826.39
162,1182.05,610.67,451.39,89375.00
163,1178.99,607.60,451.39,88923.61
164,1175.92,604.53,451.39,88472.22
165,1172.85,601.46,451.39,88020.83
166,1169.78,598.39,451.39,87569.44
167,1166.71,595.32,451.39,87118.06
168,1163.64,592.25,451.39,86666.67
169,1160.57,589.19,451.39,86215.28
170,1157.51,586.12,451.39,85763.89
171,1154.44,583.05,451.39,85312.50
172,1151.37,579.98,451.39,84861.11
173,1148.30,576.91,451.39,84409.72
174,1145.23,573.84,451.39,83958.33
175,1142.16,570.77,451.39,83506.94
176,1139.09,567.70,451.39,83055.56
177,1136.02,564.64,451.39,82604.17
178,1132.96,561.57,451.39,82152.78
179,1129.89,558.50,451.39,81701.39
180,1126.82,555.43,451.39,81250.00
181,1123.75,552.36,451.39,80798.61
182,1120.68,549.29,451.39,80347.22
183,1117.61,546.22,451.39,79895.83
184,1114.54,543.16,451.39,79444.44
185,1111.48,540.09,451.39,78993.06
186,1108.41,537.02,451.39,78541.67
187,1105.34,533.95,451.39,78090.28
188,1102.27,530.88,451.39,77638.89
